group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_wolson,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277778,0
pi_parsotat,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555556,0,0
pi_summers,CPU 2013 Usage,0,0,0,0.00138889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_jkestner,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638889,0,0,0,0
pi_marten,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_psanjay,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222,0,0,0,0,0,0,0,0
pi_weltyc,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466667,0,0,0,0,0,0
pi_hpirsiav,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_motteler,CPU 2013 Usage,0,0.102778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_carter,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116389,0,0,0,0,0,0,0,0,0,0,0,0
pi_mjkyoung,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255556,0.000277778,0.122222
pi_doit,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277778,0,0,0,0,0,0,0,0,0,0.426667,0,0,0,0,0,0,0,0
pi_vjaneja,CPU 2013 Usage,0,0,0,0,0,0,0.0555556,0.123333,0,0,0,1.51722,0,0.0291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472222,0,0,0
pi_hoban,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64167,0,0,0,0.456389,0.0266667,0,0.111389,0,0.459444,0.0475,0
pi_lobo,CPU 2013 Usage,0,0,0.195,3.88444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_martins,CPU 2013 Usage,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3225,0,0,0,0,0
pi_cmat,CPU 2013 Usage,0,0,0.00888889,0,0,0,0,0,0,0,0,0,0,4.98778,0,0,0,0,0,0.0947222,1.4975,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_zliang,CPU 2013 Usage,0,0,0,0,8.04889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_sguimond,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,4.00556,0,0,0,0,0.08,4.00417,0,0,0,0,0,0,0,0,0,0,0,0.551111,0,0,0,0,0
student,CPU 2013 Usage,0,0,0,0,0,0,0,0,1.03278,0,0,0,0,0,0,0,0,0,0,0.000277778,0.208056,0,0.0386111,0,0.0844444,0,16.0081,0,0,0,0,0.00166667,0.603333,0.00222222
pi_halem,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3825,20.0936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_meyer,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_adash2,CPU 2013 Usage,40.07,0.150556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_rtyler,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9489,0,0,0,0,0,0,0,0,0,0,0
pi_joshi,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952778,0.0325,0,0,0,57.1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_squire,CPU 2013 Usage,0,0,64.0742,0,0,0,0,0,0,0,0,0,0,0.0577778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_simsek,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1181,0,0,0,0,0,0,0,0,0,1.03667,0,0,0,0,0,0
pi_xxu,CPU 2013 Usage,0,0,0,0.341667,0,0.505556,0,0,0,0,0,0,0,12.0933,16.0256,0,0.00361111,0,0,0,8.00833,1.02889,36.1069,0,0,0,0,0,0,0,0,0,0.341111,3.03889
pi_gszeto,CPU 2013 Usage,0,0,0,0,0,0,0,22.1414,9.9275,0,54.1986,4.00056,0,0,0,0,0,1.03722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_mbaker,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97111,3.13889,2.02667,0.00944444,0,0,0,0,0,0,0,0.0238889,0.494722,0,0.727778,52.8667,55.3208,0,0
hpcreu,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291389,0,0,0,0,242.899,0,0,0,0,0,0,0
pi_mkann,CPU 2013 Usage,0,0,0.695556,29.5594,0,177.371,0,0,0,0,0,0,13.4667,0,0,0.0266667,0,0,29.0317,1.58917,17.6072,17.4947,1.29278,0,0,0,0,0,0,0,0,0,0,0
pi_mlyu,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9875,0,0,0.00888889,0,0,0,0,0,0,0,0,365.391,0,0,0
pi_amita,CPU 2013 Usage,0,0,0,0,0,0,0,0,6.88722,78.2828,823.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_bailey,CPU 2013 Usage,0,0,0,143.542,1.28944,0,0.0583333,0,0.0338889,367.603,0,381.618,314.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_bpeercy,CPU 2013 Usage,0,0,84.7022,77.0697,0,5.48083,25.9564,51.2022,969.846,36.7664,0,1.40889,0,18.7822,0,0,0,0,0,0,0.0133333,0.00111111,0.395278,0,0,0,0,0,0,0,0,1.26222,0,0
pi_abiswas,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.782,119.139,127.129,828.447,0,0,0,0,0,0,0
pi_jameslo,CPU 2013 Usage,0,0,25.3994,119.208,211.133,0,1.415,0,0,0,0,0,0,0,0,0,269.229,52.1281,175.246,64.9336,65.8897,93.0581,49.8325,134.808,0,186.066,16.2928,223.16,67.0069,0,0,0,0,0
pi_nagaraj,CPU 2013 Usage,0,0.0177778,0.0108333,0,0.00944444,0,0,0.000277778,0,59.5456,131.544,0,0,63.1942,0,480.723,406.306,211.384,0,0.915,2.6075,0.00194444,0,0,113.549,209.041,0,0,0,0,74.8247,0,9.91333,0
pi_roma,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605.76,1050.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
